error    error
saludo	 hola
saludo   hola.
saludo   Hola
saludo   Buenas
saludo   buenas
saludo   Buenos dias
saludo   Buenas tardes
saludo   Buenas noches
saludo   buenos dias
saludo   buenas tardes
saludo   buenas noches
saludo   saludos
saludo   hey
saludo   hola?
despedida	 adios
despedida	 adios.
despedida	 Adios
despedida	 Hasta luego
despedida	 hasta luego
despedida	 gracias por todo
despedida	 nos vemos
despedida	 eso es todo
despedida	 Eso es todo
despedida	 No, gracias
despedida	 no
despedida	 No
despedida	 no gracias
despedida	 quit
despedida	 cierra
despedida	 cerrar
despedida	 cancelar
despedida	 close
despedida	 stop
despedida	 cancel
ayuda    Ayuda
ayuda	 ayuda
ayuda	 ¿Que puedo hacer?
ayuda	 que puedo hacer?
ayuda	 necesito ayuda
ayuda	 como pinto algo?
ayuda	 ¿Como pinto?
ayuda	 ¿como pinto?
ayuda	 acciones disponibles
ayuda-figuras	 ¿Que puedo pintar?
ayuda-figuras	 que puedo pintar?
ayuda-figuras	 ¿Que figuras hay?
ayuda-figuras	 figuras disponibles
ayuda-figuras	 puedo pintar un cudadrado?
ayuda-figuras	 puedo pintar un
ayuda-figuras	 lista de figuras
ayuda-figuras	 figuras
ayuda-figuras	 que figuras hay?
pintar	 pintame un cuadrado azul en 23 15 de lado 56 con relleno
pintar	 pinta cuadrado en 23 15 de lado 56 azul con relleno
pintar	 pinta cuadrado en 23 15 azul  con relleno
pintar	 dibuja un uadrado azul en 23 15 de lado 56 con relleno
pintar	 pinta un cuadrado azul en 23 15 de lado 56 con relleno
pintar	 pintar cuadrado azul en 23 15 de lado 56 con relleno
pintar	 pintar un cuadrado azul en 23 15 de lado 56 con relleno
pintar	 dibujar  cuadrado azul en 23 15 de lado 56 con relleno
pintar	 dibujar un  cuadrado azul en 23 15 de lado 56 con relleno
pintar	 crear  cuadrado azul en 23 15 de lado 56 con relleno
pintar	 crear un  cuadrado azul en 23 15 de lado 56 con relleno
pintar	 haz un  cuadrado azul en 23 15 de lado 56 con relleno
pintar	 hacer un  cuadrado azul en 23 15 de lado 56 con relleno
pintar	 añade un  cuadrado azul en 23 15 de lado 56 con relleno
pintar	 añadir un  cuadradoazul en 23 15 de lado 56 con relleno
pintar	 nuevo cuadrado azul en 23 15 de lado 56 con relleno
pintar	 cuadrado azul en 23 15 de lado 56 con relleno
pintar	 cuadrado en 23 15 de lado 56 y color azul con relleno
